002195,中银机构现金管理货币,ZYJGXJGLHB,2018-02-16,1.1310,4.23,0.0799,0.3595,1.1526,2.2096,4.2112,7.0541,,0.5475,7.6380,2015-12-11,1,4.23,4.3141,4.3384,4.2921,,0.00%,,货币型,
000533,永赢货币,YYHB,2018-02-14,1.1146,4.08,0.0782,0.3495,1.0755,2.1508,4.2091,6.9695,10.9491,0.5114,15.1562,2014-02-27,1,4.08,4.0441,4.0789,4.0890,,0.00%,,货币型,
004216,兴业安润货币A,XYARHBA,2018-02-14,1.1707,4.3610,0.0819,0.3647,1.0787,2.1389,4.2007,,,0.5314,4.5640,2017-01-06,1,4.3610,4.3675,4.3751,4.3833,,0.00%,,货币型,
000600,汇添富和聚宝货币,HTFHJBHB,2018-02-21,1.1683,4.3580,0.0888,0.3753,1.0947,2.1478,4.1980,7.4478,11.9209,0.5438,15.3868,2014-05-28,1,4.3580,4.5480,4.4859,4.4847,,0.00%,,货币型,
000903,新华活期添利货币A,XHHQTLHBA,2018-02-14,1.1404,4.4370,0.0833,0.3719,1.0935,2.1502,4.1980,6.9751,10.2989,0.54,11.0318,2014-12-04,1,4.4370,4.4713,4.4737,4.4664,,0.00%,,货币型,
000588,招商招钱宝货币A,ZSZQBHBA,2018-02-15,1.1553,4.34,0.0816,0.3620,1.0873,2.1404,4.1842,7.1394,11.0321,0.5273,15.6510,2014-03-25,1,4.34,4.3542,4.3467,4.3420,,0.00%,,货币型,
000560,诺安天天宝E,NATTBE,2018-02-14,1.1815,4.4060,0.0827,0.3776,1.1130,2.1705,4.1761,6.6796,10.2108,0.5469,13.9336,2014-03-25,1,4.4060,4.4864,4.5482,4.5181,0.00%,0.00%,,货币型,
000638,富国富钱包货币,FGFQBHB,2018-02-16,1.2177,4.58,0.0866,0.3871,1.1113,2.1812,4.1667,7.1675,11.2760,0.5619,15.4786,2014-05-07,1,4.58,4.5661,4.6302,4.6309,,0.00%,,货币型,
210012,金鹰货币A,JYHBA,2018-02-14,1.1616,4.3070,0.0810,0.3597,1.0978,2.1427,4.1651,6.8992,10.5516,0.5609,21.1370,2012-12-07,1,4.3070,4.1869,4.2088,4.2555,0.00%,0.00%,,货币型,20.5852
000678,华宝现金宝货币E,HBXJBHBE,2018-02-14,1.1855,4.5420,0.0853,0.3794,1.0939,2.1385,4.1546,7.0862,10.6539,0.5758,13.6204,2014-07-14,1,4.5420,4.4849,4.4579,4.4616,,0.00%,,货币型,
000615,长城工资宝货币A,CCGZBHBA,2018-02-14,1.1470,4.3470,0.0817,0.3647,1.1237,2.1384,4.1519,6.1546,9.7411,0.5352,12.9257,2014-06-25,1,4.3470,4.3819,4.3549,4.3732,,0.00%,,货币型,
000509,广发钱袋子货币A,GFQDZHBA,2018-02-16,1.1807,4.36,0.0812,0.3638,1.0672,2.0799,4.1495,7.1382,11.2003,0.5288,17.1977,2014-01-10,1,4.36,4.3580,4.3579,4.3684,,0.00%,,货币型,
001697,大成恒丰宝货币A,DCHFBHBA,2018-02-14,1.1530,4.3370,0.0815,0.3642,1.0708,2.1333,4.1486,6.9449,,0.5315,8.0195,2015-08-04,1,4.3370,4.3042,4.3668,4.3856,,0.00%,,货币型,
001987,东方金元宝货币,DFJYBHB,2018-02-14,1.1758,4.3430,0.0816,0.3558,1.0979,2.1338,4.1482,7.1547,,0.5522,7.8710,2015-11-23,1,4.3430,4.2876,4.2768,4.2427,,0.00%,,货币型,
002852,招商财富宝交易型货币A,ZSCFBJYXHBA,2018-02-14,1.1160,4.2990,0.0807,0.3556,1.0647,2.1018,4.1459,,,0.5213,5.9018,2016-06-30,1,4.2990,4.2305,4.1765,4.1969,,0.00%,,货币型,
000647,易方达财富快线货币A,YFDCFKXHBA,2018-02-14,1.1494,4.4020,0.0826,0.3689,1.0710,2.0833,4.1373,7.2880,11.2040,0.5353,14.3125,2014-06-17,1,4.4020,4.3247,4.3377,4.3389,,0.00%,,货币型,
003478,民生加银腾元宝货币A,MSJYTYBHBA,2018-02-14,1.1197,4.0380,0.0759,0.3417,0.9926,2.0492,4.1325,,,0.5235,4.8918,2016-12-02,1,4.0380,4.0755,4.0915,4.0744,,0.00%,,货币型,
